"sample_size","sample_design","coef","cov_name","num_sim","analysis","lrt","wald","score"
100,"Intensive",0.25,"AGE",1000,"power",2.36167865397692,2.38008390709985,2.24727469866779
100,"Intensive",0.25,"AGE",1000,"power",8.93545402749351,9.20035078167764,8.24759396067221
100,"Intensive",0.25,"AGE",1000,"power",8.13653291230003,8.40440371264146,7.53706159172869
100,"Intensive",0.25,"AGE",1000,"power",14.129934786074,14.8144659142197,12.6436895529105
100,"Intensive",0.25,"AGE",1000,"power",15.0657189105723,16.0788462553837,13.4494911105478
100,"Intensive",0.25,"AGE",1000,"power",24.4510070900233,26.8233016842376,20.7823913027695
100,"Intensive",0.25,"AGE",1000,"power",9.9082871444889,10.2990416621944,9.08998197737282
100,"Intensive",0.25,"AGE",1000,"power",14.0858361238061,14.9033580893374,12.7159744057153
100,"Intensive",0.25,"AGE",1000,"power",14.5202739853958,15.5330572017042,12.9964608745557
100,"Intensive",0.25,"AGE",1000,"power",2.16248016854388,2.17750120193794,2.06011623942379
100,"Intensive",0.25,"AGE",1000,"power",10.6045244317411,11.0025759794037,9.75018142124154
100,"Intensive",0.25,"AGE",1000,"power",9.14770076614332,9.50200146295481,8.43052423122484
100,"Intensive",0.25,"AGE",1000,"power",2.19353238007443,2.20590686251819,2.08845464921686
100,"Intensive",0.25,"AGE",1000,"power",4.9330724919937,5.02588570405165,4.64064265042327
100,"Intensive",0.25,"AGE",1000,"power",20.5726018503592,22.3766228661663,17.8649007898837
100,"Intensive",0.25,"AGE",1000,"power",15.3002002526691,16.228772549296,13.6195175965266
100,"Intensive",0.25,"AGE",1000,"power",8.36707967975235,8.58484914418591,7.7115188719371
100,"Intensive",0.25,"AGE",1000,"power",13.5354290288315,14.31886444627,12.2193453868297
100,"Intensive",0.25,"AGE",1000,"power",3.85747557485047,3.92202272152341,3.64001016295311
100,"Intensive",0.25,"AGE",1000,"power",7.0194840266704,7.28245004479247,6.47899131346609
100,"Intensive",0.25,"AGE",1000,"power",19.362771173789,20.8149101519662,17.0419462679433
100,"Intensive",0.25,"AGE",1000,"power",4.8784703524525,4.9482427964581,4.60571858545047
100,"Intensive",0.25,"AGE",1000,"power",16.3041901422275,17.317063181392,14.4858666137414
