"sample_size","sample_design","coef","cov_name","num_sim","analysis","lrt","wald","score"
100,"Intensive",0.25,"AGE",1000,"type_one",-0.542387293809952,1.3088943400127e-150,3.30784922603783
100,"Intensive",0.25,"AGE",1000,"type_one",0.013874177057005,1.03646595366208e-150,0.013430253565567
100,"Intensive",0.25,"AGE",1000,"type_one",0.0278652030856392,0.0261188614536601,0.026867988736327
100,"Intensive",0.25,"AGE",1000,"type_one",0.350700437033993,0.345475613134592,0.336702099586384
100,"Intensive",0.25,"AGE",1000,"type_one",1.60627171868964,1.62433737933564,1.53321359333973
100,"Intensive",0.25,"AGE",1000,"type_one",2.57573836987649,2.60358978765047,2.44831063087117
100,"Intensive",0.25,"AGE",1000,"type_one",0.169120273732915,0.170221988752887,0.16296340058903
100,"Intensive",0.25,"AGE",1000,"type_one",1.36935605586041,1.38530923315506,1.31102290824187
100,"Intensive",0.25,"AGE",1000,"type_one",1.29117706057059,1.29625797769165,1.23445762136565
100,"Intensive",0.25,"AGE",1000,"type_one",-0.354140095363618,3.36958814943697e-150,1.91011074320353
100,"Intensive",0.25,"AGE",1000,"type_one",0.362432744539547,0.363535367249719,0.349201348799909
100,"Intensive",0.25,"AGE",1000,"type_one",0.141923856399444,0.139329069707326,0.136599385083853
100,"Intensive",0.25,"AGE",1000,"type_one",-0.312684671136594,1.45183086920539e-150,1.52547997735442
100,"Intensive",0.25,"AGE",1000,"type_one",-0.100096022004436,2.42042430421913e-150,0.142779984344517
100,"Intensive",0.25,"AGE",1000,"type_one",3.03761923104594,3.07508734843937,2.88044315283677
100,"Intensive",0.25,"AGE",1000,"type_one",0.51569061356804,0.514137831445719,0.494709106858673
100,"Intensive",0.25,"AGE",1000,"type_one",-0.0904278212829013,1.2021005639953e-150,0.0660209726767068
100,"Intensive",0.25,"AGE",1000,"type_one",0.849879784394943,0.858918404115805,0.815928588358134
100,"Intensive",0.25,"AGE",1000,"type_one",-0.257566800897621,3.10314445396103e-150,0.9581954865149
100,"Intensive",0.25,"AGE",1000,"type_one",-0.18861239744183,1.90203526386867e-150,0.379744668422927
100,"Intensive",0.25,"AGE",1000,"type_one",3.03446535706371,3.0656808919664,2.8800013032694
100,"Intensive",0.25,"AGE",1000,"type_one",-0.14748377894739,1.47242368189723e-150,0.315559219632122
100,"Intensive",0.25,"AGE",1000,"type_one",1.76829698956317,1.77546173756326,1.6875586235678
100,"Intensive",0.25,"AGE",1000,"type_one",0.277824504963974,0.275370496480943,0.267736747992337
100,"Intensive",0.25,"AGE",1000,"type_one",-0.0937676112507688,1.0843215854456e-150,0.113632867635116
100,"Intensive",0.25,"AGE",1000,"type_one",-0.0722767369834401,1.93056721162591e-150,0.0512220794592413
100,"Intensive",0.25,"AGE",1000,"type_one",0.848516399736582,0.853327946772432,0.813778363670147
100,"Intensive",0.25,"AGE",1000,"type_one",0.423428221528411,0.422522837753266,0.406361117075814
